Panel C: First-to-Second Year Retention,,,,,,
                                        ,(1),(2),(3),(4),(5),(6)
311349                                  ,,,,,,0.207
                                        ,,,,,,(1.050)
311351                                  ,,,,,,-1.187*
                                        ,,,,,,(0.499)
311353                                  ,,,,,,-1.117
                                        ,,,,,,(0.651)
311355                                  ,,,,,,-0.433
                                        ,,,,,,(0.429)
311359                                  ,,,,,,-0.737*
                                        ,,,,,,(0.359)
311360                                  ,,,,,,-0.870
                                        ,,,,,,(0.461)
311362                                  ,,,,,,-0.949
                                        ,,,,,,(0.641)
311364                                  ,,,,,,-1.926***
                                        ,,,,,,(0.455)
311365                                  ,,,,,,-0.422
                                        ,,,,,,(0.641)
311367                                  ,,,,,,-0.192
                                        ,,,,,,(1.043)
311371                                  ,,,,,,-1.910**
                                        ,,,,,,(0.600)
311376                                  ,,,,,,0.000
                                        ,,,,,,(.)
311377                                  ,,,,,,-1.909***
                                        ,,,,,,(0.536)
311381                                  ,,,,,,-2.228***
                                        ,,,,,,(0.461)
311383                                  ,,,,,,-0.288
                                        ,,,,,,(1.030)
311390                                  ,,,,,,0.000
                                        ,,,,,,(.)
311400                                  ,,,,,,1.100
                                        ,,,,,,(1.025)
311405                                  ,,,,,,-1.208
                                        ,,,,,,(0.670)
311408                                  ,,,,,,-1.395*
                                        ,,,,,,(0.590)
311410                                  ,,,,,,-0.586
                                        ,,,,,,(0.636)
311412                                  ,,,,,,-1.514**
                                        ,,,,,,(0.476)
311415                                  ,,,,,,-0.417
                                        ,,,,,,(0.762)
311420                                  ,,,,,,-0.283
                                        ,,,,,,(0.881)
311445                                  ,,,,,,-0.543
                                        ,,,,,,(0.754)
311450                                  ,,,,,,-1.925***
                                        ,,,,,,(0.394)
311455                                  ,,,,,,-0.886
                                        ,,,,,,(0.477)
311457                                  ,,,,,,-1.363*
                                        ,,,,,,(0.633)
311458                                  ,,,,,,-1.693***
                                        ,,,,,,(0.455)
311460                                  ,,,,,,-3.225***
                                        ,,,,,,(0.634)
311473                                  ,,,,,,-2.321***
                                        ,,,,,,(0.626)
311474                                  ,,,,,,-1.150
                                        ,,,,,,(0.762)
311483                                  ,,,,,,0.266
                                        ,,,,,,(1.013)
311484                                  ,,,,,,-1.072
                                        ,,,,,,(0.696)
311485                                  ,,,,,,-1.102
                                        ,,,,,,(0.766)
311487                                  ,,,,,,-0.718
                                        ,,,,,,(0.515)
311492                                  ,,,,,,-0.756
                                        ,,,,,,(0.786)
311510                                  ,,,,,,-1.002*
                                        ,,,,,,(0.415)
311535                                  ,,,,,,-1.831***
                                        ,,,,,,(0.437)
311550                                  ,,,,,,-0.831
                                        ,,,,,,(0.637)
311555                                  ,,,,,,-2.495***
                                        ,,,,,,(0.580)
311570                                  ,,,,,,-1.187
                                        ,,,,,,(0.792)
311573                                  ,,,,,,-1.543***
                                        ,,,,,,(0.449)
311574                                  ,,,,,,-0.732
                                        ,,,,,,(0.569)
311578                                  ,,,,,,-0.857
                                        ,,,,,,(0.773)
311579                                  ,,,,,,-0.645
                                        ,,,,,,(0.688)
311581                                  ,,,,,,-0.520
                                        ,,,,,,(0.510)
311585                                  ,,,,,,-0.308
                                        ,,,,,,(0.572)
311586                                  ,,,,,,-1.997*
                                        ,,,,,,(0.793)
311590                                  ,,,,,,-1.856**
                                        ,,,,,,(0.698)
311595                                  ,,,,,,-1.266*
                                        ,,,,,,(0.521)
311613                                  ,,,,,,-0.847
                                        ,,,,,,(0.436)
311614                                  ,,,,,,-1.437**
                                        ,,,,,,(0.518)
311615                                  ,,,,,,-1.197
                                        ,,,,,,(0.672)
311622                                  ,,,,,,-2.001***
                                        ,,,,,,(0.502)
311625                                  ,,,,,,-0.967*
                                        ,,,,,,(0.440)
311630                                  ,,,,,,0.000
                                        ,,,,,,(.)
311640                                  ,,,,,,-1.203
                                        ,,,,,,(0.785)
319999                                  ,,,,,,-1.235*
                                        ,,,,,,(0.534)
335401                                  ,,,,,,0.070
                                        ,,,,,,(1.160)
335405                                  ,,,,,,-1.764**
                                        ,,,,,,(0.623)
970000                                  ,,,,,,-1.676*
                                        ,,,,,,(0.655)
999997                                  ,,,,,,0.880
                                        ,,,,,,(0.750)
rss                                     ,,,,,,
df_r                                    ,,,,,,
r2                                      ,,,,,,
F                                       ,,,,,,
N                                       ,26146.000,25895.000,25895.000,25895.000,25895.000,20598.000
